date,platform,campaign_name,objective,ad_id,ad_name,state,region,device,age_group,gender,impressions,reach,link_clicks,spend_inr,conversions,revenue_inr,likes,comments,shares,saves,video_plays
2025-06-02,Instagram,Summer Sale,Conversions,AD1041,Carousel 5,Gujarat,West,Mobile,18-24,Male,131226.0,84947.0,1839.0,8458.0,101.0,178962.0,1965.0,323.0,172.0,263.0,2860.0
2025-06-02,Instagram,Summer Sale,Conversions,AD1042,Static Image 2,Uttar Pradesh,North,Mobile,45-54,Male,77505.0,45110.0,852.0,5172.0,24.0,35052.0,1062.0,162.0,74.0,144.0,1532.0
2025-06-02,Instagram,Monsoon Launch,Traffic,AD1043,Static Image 2,Delhi,North,Mobile,55+,Female,109460.0,70444.0,2046.0,6066.0,4.0,3165.0,1348.0,267.0,133.0,195.0,2152.0
2025-06-03,Facebook,Summer Sale,Conversions,AD1044,Short Video 4,Delhi,North,Desktop,45-54,Male,71994.0,30759.0,807.0,5682.0,34.0,55045.0,1556.0,239.0,143.0,184.0,9702.0
2025-06-03,Facebook,Monsoon Launch,Traffic,AD1045,Stories 1,Maharashtra,West,Desktop,18-24,Female,88437.0,57776.0,1493.0,4344.0,0.0,0.0,1669.0,258.0,133.0,186.0,2524.0
2025-06-03,Facebook,Brand Awareness,Engagement,AD1046,Static Image 1,Karnataka,South,Mobile,25-34,Unknown,65609.0,31380.0,880.0,4704.0,1.0,1366.0,271.0,36.0,13.0,23.0,399.0
2025-06-03,Facebook,Summer Sale,Conversions,AD1047,Short Video 4,Uttar Pradesh,North,Mobile,25-34,Male,60820.0,34872.0,772.0,4881.0,39.0,69769.0,1092.0,210.0,97.0,140.0,7683.0
2025-06-03,Facebook,Summer Sale,Conversions,AD1048,Short Video 2,Telangana,South,Desktop,25-34,Male,76635.0,27121.0,830.0,4918.0,38.0,60890.0,1396.0,242.0,101.0,178.0,9815.0
2025-06-03,Facebook,Summer Sale,Conversions,AD1049,Carousel 3,Uttar Pradesh,North,Desktop,45-54,Male,80919.0,48138.0,1276.0,6314.0,55.0,98642.0,1080.0,182.0,91.0,157.0,1619.0
2025-06-03,Facebook,Brand Awareness,Engagement,AD1050,Short Video 2,Karnataka,South,Mobile,35-44,Male,53240.0,39393.0,533.0,3979.0,3.0,4518.0,1055.0,164.0,74.0,150.0,6963.0
2025-06-03,Facebook,Monsoon Launch,Traffic,AD1051,Stories 1,Gujarat,West,Mobile,35-44,Female,96700.0,59180.0,1228.0,5117.0,7.0,15550.0,1286.0,201.0,101.0,177.0,1971.0
2025-06-03,Facebook,Brand Awareness,Engagement,AD1052,Static Image 1,Tamil Nadu,South,Mobile,35-44,Female,76970.0,34886.0,598.0,5699.0,0.0,0.0,723.0,133.0,63.0,86.0,1143.0
2025-06-03,Facebook,Summer Sale,Conversions,AD1053,Stories 3,Gujarat,West,Mobile,35-44,Male,78233.0,54425.0,1211.0,7991.0,48.0,94555.0,663.0,113.0,56.0,82.0,1020.0
2025-06-03,Facebook,Clearance Event,Conversions,AD1054,Carousel 1,Uttar Pradesh,North,Mobile,18-24,Female,65294.0,26500.0,489.0,5627.0,26.0,40157.0,208.0,35.0,25.0,32.0,396.0
2025-06-03,Facebook,Summer Sale,Conversions,AD1055,Short Video 1,Gujarat,West,Mobile,25-34,Male,77966.0,53074.0,1279.0,8070.0,72.0,121856.0,670.0,91.0,53.0,95.0,8892.0
2025-06-03,Facebook,Summer Sale,Conversions,AD1056,Short Video 4,Gujarat,West,Mobile,35-44,Female,46057.0,28932.0,465.0,2903.0,26.0,41885.0,815.0,149.0,79.0,110.0,5799.0
2025-06-03,Instagram,Clearance Event,Conversions,AD1057,Carousel 5,Rajasthan,North,Mobile,45-54,Male,90022.0,60782.0,1323.0,6598.0,46.0,52876.0,484.0,69.0,43.0,67.0,793.0
2025-06-03,Instagram,Monsoon Launch,Traffic,AD1058,Stories 2,Delhi,North,Mobile,18-24,Female,47522.0,31714.0,831.0,2566.0,14.0,39862.0,841.0,118.0,61.0,109.0,1252.0
2025-06-03,Instagram,Monsoon Launch,Traffic,AD1059,Static Image 1,Maharashtra,West,Mobile,35-44,Male,87491.0,36501.0,1485.0,5050.0,27.0,53524.0,1514.0,265.0,118.0,224.0,2336.0
2025-06-03,Instagram,Clearance Event,Conversions,AD1060,Short Video 5,Telangana,South,Mobile,35-44,Male,72382.0,35958.0,1434.0,4417.0,77.0,84057.0,1324.0,229.0,117.0,176.0,9076.0
2025-06-03,Instagram,Monsoon Launch,Traffic,AD1061,Short Video 2,Telangana,South,Mobile,35-44,Male,92805.0,52372.0,1990.0,4964.0,11.0,21578.0,2098.0,356.0,160.0,260.0,12387.0
2025-06-03,Instagram,Summer Sale,Conversions,AD1062,Short Video 3,Maharashtra,West,Desktop,35-44,Male,49729.0,24294.0,791.0,3008.0,39.0,84963.0,806.0,136.0,67.0,117.0,6146.0
2025-06-03,Instagram,Summer Sale,Conversions,AD1063,Short Video 5,Karnataka,South,Desktop,18-24,Unknown,62006.0,37599.0,909.0,4760.0,56.0,80965.0,809.0,119.0,75.0,116.0,7322.0
2025-06-03,Instagram,Summer Sale,Conversions,AD1064,Stories 2,Karnataka,South,Desktop,25-34,Female,25170.0,12482.0,441.0,1335.0,23.0,49934.0,360.0,67.0,25.0,50.0,512.0
2025-06-03,Instagram,Summer Sale,Conversions,AD1065,Static Image 5,Delhi,North,Mobile,18-24,Female,40434.0,21426.0,505.0,2432.0,13.0,14305.0,205.0,32.0,9.0,24.0,346.0
2025-06-03,Instagram,Monsoon Launch,Traffic,AD1066,Short Video 2,Gujarat,West,Desktop,18-24,Female,29576.0,13496.0,496.0,2246.0,5.0,11693.0,526.0,112.0,38.0,83.0,3703.0
2025-06-03,Instagram,Brand Awareness,Engagement,AD1067,Short Video 3,Karnataka,South,Desktop,25-34,Female,35307.0,18874.0,684.0,2427.0,9.0,15559.0,240.0,44.0,12.0,44.0,3940.0
2025-06-04,Facebook,Clearance Event,Conversions,AD1068,Stories 5,Maharashtra,West,Mobile,18-24,Female,91048.0,38611.0,1402.0,7912.0,86.0,123496.0,798.0,120.0,54.0,114.0,1268.0
2025-06-04,Facebook,Monsoon Launch,Traffic,AD1069,Short Video 4,Rajasthan,North,Desktop,25-34,Female,113116.0,67484.0,1800.0,7055.0,1.0,2239.0,2139.0,386.0,164.0,271.0,14578.0
2025-06-04,Facebook,Brand Awareness,Engagement,AD1070,Short Video 2,Telangana,South,Desktop,35-44,Female,25848.0,16834.0,314.0,1436.0,0.0,0.0,511.0,79.0,40.0,48.0,3281.0
2025-06-04,Facebook,Clearance Event,Conversions,AD1071,Carousel 4,West Bengal,East,Desktop,35-44,Female,37872.0,24360.0,214.0,3191.0,5.0,5004.0,228.0,30.0,8.0,31.0,327.0
2025-06-04,Facebook,Summer Sale,Conversions,AD1072,Carousel 4,Maharashtra,West,Desktop,18-24,Female,61711.0,34190.0,405.0,5116.0,31.0,52963.0,412.0,74.0,24.0,56.0,596.0
2025-06-04,Facebook,Brand Awareness,Engagement,AD1073,Stories 2,Telangana,South,Mobile,18-24,Male,120740.0,87324.0,1191.0,9594.0,18.0,29708.0,2020.0,355.0,150.0,267.0,2985.0
2025-06-04,Facebook,Summer Sale,Conversions,AD1074,Stories 4,West Bengal,East,Desktop,45-54,Female,82771.0,41448.0,668.0,4391.0,38.0,69855.0,1665.0,285.0,134.0,243.0,2539.0
2025-06-04,Facebook,Clearance Event,Conversions,AD1075,Static Image 5,Delhi,North,Mobile,18-24,Female,39516.0,26272.0,389.0,3254.0,13.0,15203.0,468.0,72.0,37.0,64.0,637.0
2025-06-04,Facebook,Clearance Event,Conversions,AD1076,Stories 2,Telangana,South,Mobile,35-44,Female,23398.0,10624.0,352.0,1590.0,16.0,20201.0,200.0,31.0,17.0,27.0,278.0
2025-06-04,Facebook,Summer Sale,Conversions,AD1077,Carousel 5,Uttar Pradesh,North,Mobile,45-54,Male,73304.0,41749.0,492.0,6252.0,14.0,27657.0,1135.0,182.0,93.0,176.0,1744.0
2025-06-04,Facebook,Clearance Event,Conversions,AD1078,Stories 1,Uttar Pradesh,North,Desktop,55+,Female,31556.0,20596.0,259.0,2553.0,15.0,17789.0,459.0,91.0,40.0,62.0,731.0
2025-06-04,Instagram,Clearance Event,Conversions,AD1079,Short Video 2,Kerala,South,Desktop,25-34,Female,44692.0,24941.0,838.0,2615.0,61.0,75207.0,858.0,159.0,76.0,106.0,5680.0
2025-06-04,Instagram,Clearance Event,Conversions,AD1080,Carousel 2,Telangana,South,Desktop,25-34,Female,55921.0,19854.0,761.0,5130.0,34.0,44450.0,849.0,138.0,76.0,110.0,1238.0
2025-06-04,Instagram,Brand Awareness,Engagement,AD1081,Carousel 5,Gujarat,West,Desktop,45-54,Male,128558.0,76925.0,1875.0,6704.0,14.0,23884.0,215.0,35.0,17.0,29.0,359.0
2025-06-04,Instagram,Monsoon Launch,Traffic,AD1082,Stories 3,Delhi,North,Mobile,35-44,Male,87135.0,61991.0,1877.0,4450.0,16.0,14701.0,1137.0,198.0,90.0,132.0,1684.0
2025-06-04,Instagram,Brand Awareness,Engagement,AD1083,Stories 4,Uttar Pradesh,North,Desktop,25-34,Male,141097.0,96762.0,2073.0,7904.0,1.0,1203.0,1120.0,199.0,102.0,139.0,1711.0
2025-06-04,Instagram,Clearance Event,Conversions,AD1084,Stories 5,Rajasthan,North,Mobile,45-54,Female,112345.0,65978.0,1780.0,7704.0,83.0,100138.0,2527.0,441.0,220.0,336.0,3832.0
2025-06-04,Instagram,Clearance Event,Conversions,AD1085,Stories 1,Tamil Nadu,South,Desktop,25-34,Male,86988.0,54894.0,1249.0,4918.0,70.0,85806.0,1162.0,185.0,116.0,163.0,1728.0
2025-06-04,Instagram,Monsoon Launch,Traffic,AD1086,Stories 5,West Bengal,East,Mobile,18-24,Female,75268.0,26574.0,1404.0,3766.0,22.0,18338.0,1290.0,215.0,111.0,174.0,1972.0
2025-06-04,Instagram,Brand Awareness,Engagement,AD1087,Static Image 3,Delhi,North,Mobile,45-54,Female,122060.0,57825.0,1545.0,6831.0,1.0,1599.0,842.0,143.0,68.0,135.0,1327.0
2025-06-04,Instagram,Clearance Event,Conversions,AD1088,Stories 4,Rajasthan,North,Mobile,18-24,Male,80938.0,32824.0,1439.0,4934.0,91.0,140337.0,1085.0,190.0,89.0,159.0,1634.0
2025-06-04,Instagram,Monsoon Launch,Traffic,AD1089,Short Video 3,Tamil Nadu,South,Desktop,25-34,Male,49696.0,26341.0,932.0,3145.0,9.0,14651.0,747.0,114.0,82.0,112.0,6066.0
2025-06-04,Instagram,Brand Awareness,Engagement,AD1090,Short Video 5,Delhi,North,Desktop,35-44,Female,67606.0,41973.0,635.0,4675.0,0.0,0.0,960.0,174.0,95.0,123.0,8380.0
2025-06-04,Instagram,Summer Sale,Conversions,AD1091,Short Video 5,West Bengal,East,Mobile,35-44,Male,92238.0,46111.0,750.0,5904.0,60.0,78749.0,1923.0,301.0,166.0,246.0,12279.0
2025-06-04,Instagram,Monsoon Launch,Traffic,AD1092,Carousel 4,Karnataka,South,Mobile,35-44,Female,87765.0,47880.0,1476.0,5348.0,8.0,13206.0,419.0,74.0,41.0,41.0,588.0
2025-06-05,Facebook,Summer Sale,Conversions,AD1093,Static Image 3,Rajasthan,North,Mobile,18-24,Male,83807.0,39471.0,1705.0,5703.0,87.0,172441.0,929.0,149.0,79.0,112.0,1393.0
2025-06-05,Facebook,Monsoon Launch,Traffic,AD1094,Static Image 4,West Bengal,East,Desktop,35-44,Male,71587.0,42997.0,1194.0,4518.0,2.0,1906.0,313.0,42.0,30.0,46.0,466.0
2025-06-05,Facebook,Monsoon Launch,Traffic,AD1095,Stories 3,Maharashtra,West,Mobile,25-34,Female,83005.0,42302.0,1211.0,6026.0,36.0,91100.0,1477.0,252.0,118.0,184.0,2314.0
2025-06-05,Facebook,Clearance Event,Conversions,AD1096,Carousel 3,Telangana,South,Mobile,25-34,Female,22250.0,15283.0,144.0,1835.0,7.0,9135.0,343.0,49.0,25.0,50.0,554.0
2025-06-05,Facebook,Summer Sale,Conversions,AD1097,Static Image 3,Maharashtra,West,Mobile,35-44,Female,78359.0,42993.0,782.0,5960.0,34.0,61341.0,145.0,19.0,13.0,16.0,193.0
2025-06-05,Facebook,Brand Awareness,Engagement,AD1098,Short Video 3,Uttar Pradesh,North,Desktop,35-44,Male,88419.0,51170.0,598.0,5306.0,0.0,0.0,879.0,144.0,68.0,112.0,10245.0
2025-06-05,Facebook,Summer Sale,Conversions,AD1099,Stories 1,Delhi,North,Desktop,18-24,Unknown,42499.0,27922.0,669.0,3269.0,39.0,69402.0,744.0,119.0,62.0,88.0,1096.0
2025-06-05,Facebook,Monsoon Launch,Traffic,AD1100,Short Video 1,Delhi,North,Mobile,35-44,Unknown,113813.0,64591.0,2134.0,7359.0,16.0,32802.0,1451.0,225.0,122.0,171.0,13651.0
2025-06-05,Facebook,Clearance Event,Conversions,AD1101,Short Video 1,West Bengal,East,Desktop,45-54,Female,25664.0,9162.0,371.0,1987.0,24.0,29019.0,201.0,34.0,14.0,23.0,2872.0
2025-06-05,Facebook,Monsoon Launch,Traffic,AD1102,Stories 4,Karnataka,South,Desktop,45-54,Male,127481.0,68758.0,1876.0,7846.0,65.0,138867.0,2231.0,413.0,208.0,300.0,3438.0
2025-06-05,Facebook,Clearance Event,Conversions,AD1103,Stories 3,Gujarat,West,Mobile,25-34,Male,54665.0,34220.0,745.0,4477.0,28.0,29974.0,643.0,113.0,60.0,86.0,1064.0
2025-06-05,Instagram,Monsoon Launch,Traffic,AD1104,Short Video 3,Gujarat,West,Desktop,25-34,Female,76519.0,40829.0,1369.0,5316.0,21.0,46570.0,909.0,157.0,66.0,118.0,8944.0
2025-06-05,Instagram,Summer Sale,Conversions,AD1105,Stories 5,Uttar Pradesh,North,Mobile,18-24,Female,25159.0,15472.0,410.0,1624.0,19.0,25975.0,514.0,92.0,47.0,76.0,860.0
2025-06-05,Instagram,Monsoon Launch,Traffic,AD1106,Short Video 1,West Bengal,East,Desktop,25-34,Male,112410.0,77104.0,1726.0,7348.0,18.0,24087.0,1545.0,257.0,110.0,206.0,13731.0
2025-06-05,Instagram,Monsoon Launch,Traffic,AD1107,Stories 5,Delhi,North,Mobile,25-34,Female,67663.0,24570.0,1047.0,4340.0,9.0,17320.0,977.0,135.0,73.0,130.0,1494.0
2025-06-05,Instagram,Brand Awareness,Engagement,AD1108,Short Video 1,Delhi,North,Desktop,25-34,Male,54576.0,19133.0,866.0,2823.0,11.0,16352.0,1227.0,191.0,99.0,157.0,7126.0
2025-06-05,Instagram,Brand Awareness,Engagement,AD1109,Carousel 2,Telangana,South,Mobile,35-44,Male,101993.0,75369.0,1124.0,5487.0,0.0,0.0,301.0,55.0,30.0,44.0,490.0
2025-06-05,Instagram,Monsoon Launch,Traffic,AD1110,Short Video 4,Telangana,South,Desktop,18-24,Female,49679.0,31982.0,895.0,2955.0,9.0,18927.0,1020.0,162.0,79.0,149.0,6408.0
2025-06-05,Instagram,Summer Sale,Conversions,AD1111,Static Image 2,Telangana,South,Desktop,18-24,Male,92738.0,44200.0,1176.0,7545.0,45.0,89287.0,96.0,14.0,12.0,11.0,132.0
2025-06-05,Instagram,Monsoon Launch,Traffic,AD1112,Carousel 1,Maharashtra,West,Mobile,55+,Female,88155.0,42577.0,1390.0,4529.0,35.0,38797.0,806.0,133.0,61.0,99.0,1084.0
2025-06-06,Facebook,Clearance Event,Conversions,AD1113,Stories 1,Karnataka,South,Mobile,25-34,Male,39147.0,23985.0,593.0,3280.0,28.0,32230.0,717.0,96.0,55.0,96.0,1021.0
2025-06-06,Facebook,Brand Awareness,Engagement,AD1114,Static Image 3,Kerala,South,Mobile,18-24,Female,35814.0,21305.0,225.0,2727.0,3.0,3647.0,479.0,75.0,38.0,55.0,725.0
2025-06-06,Facebook,Summer Sale,Conversions,AD1115,Static Image 3,Delhi,North,Desktop,18-24,Female,66181.0,38767.0,776.0,6114.0,47.0,81625.0,327.0,60.0,26.0,46.0,443.0
2025-06-06,Facebook,Monsoon Launch,Traffic,AD1116,Stories 4,Kerala,South,Desktop,18-24,Male,69770.0,46376.0,1037.0,3180.0,4.0,10444.0,880.0,150.0,55.0,127.0,1341.0
2025-06-06,Facebook,Monsoon Launch,Traffic,AD1117,Stories 5,Uttar Pradesh,North,Desktop,25-34,Male,68268.0,45332.0,823.0,4664.0,8.0,9752.0,1519.0,249.0,140.0,212.0,2371.0
2025-06-06,Facebook,Brand Awareness,Engagement,AD1118,Carousel 1,Rajasthan,North,Mobile,35-44,Female,69061.0,45975.0,751.0,4351.0,13.0,11515.0,526.0,77.0,39.0,64.0,781.0
2025-06-06,Facebook,Monsoon Launch,Traffic,AD1119,Static Image 1,Maharashtra,West,Mobile,18-24,Male,116100.0,65335.0,1461.0,8418.0,17.0,32958.0,1241.0,216.0,106.0,161.0,1849.0
2025-06-06,Facebook,Monsoon Launch,Traffic,AD1120,Short Video 1,Tamil Nadu,South,Desktop,25-34,Female,61331.0,34735.0,1079.0,4836.0,14.0,14469.0,1039.0,164.0,87.0,160.0,7754.0
2025-06-06,Facebook,Summer Sale,Conversions,AD1121,Stories 1,Telangana,South,Desktop,35-44,Female,81621.0,50547.0,1230.0,6354.0,77.0,160915.0,1793.0,293.0,149.0,241.0,2628.0
2025-06-06,Facebook,Summer Sale,Conversions,AD1122,Carousel 4,Telangana,South,Desktop,35-44,Female,101744.0,43891.0,1169.0,5944.0,61.0,131971.0,705.0,117.0,60.0,86.0,1065.0
2025-06-06,Instagram,Clearance Event,Conversions,AD1123,Carousel 3,Karnataka,South,Mobile,35-44,Female,99653.0,37527.0,1324.0,8194.0,84.0,123875.0,406.0,50.0,35.0,58.0,606.0
2025-06-06,Instagram,Summer Sale,Conversions,AD1124,Short Video 5,Tamil Nadu,South,Mobile,35-44,Female,113356.0,72518.0,1983.0,10143.0,120.0,214032.0,1809.0,293.0,160.0,232.0,13963.0
2025-06-06,Instagram,Clearance Event,Conversions,AD1125,Short Video 5,Karnataka,South,Desktop,35-44,Female,105238.0,68861.0,1215.0,9251.0,60.0,55100.0,1253.0,227.0,91.0,150.0,12382.0
2025-06-06,Instagram,Clearance Event,Conversions,AD1126,Short Video 2,West Bengal,East,Mobile,25-34,Female,117863.0,52637.0,1833.0,8305.0,101.0,147222.0,1199.0,214.0,91.0,145.0,13658.0
2025-06-06,Instagram,Brand Awareness,Engagement,AD1127,Static Image 3,Tamil Nadu,South,Mobile,18-24,Female,64455.0,39016.0,1014.0,4042.0,1.0,2074.0,760.0,124.0,62.0,99.0,1139.0
2025-06-06,Instagram,Brand Awareness,Engagement,AD1128,Stories 2,Rajasthan,North,Mobile,35-44,Male,49410.0,30948.0,977.0,3155.0,1.0,1604.0,902.0,133.0,93.0,129.0,1323.0
2025-06-06,Instagram,Brand Awareness,Engagement,AD1129,Static Image 4,Kerala,South,Desktop,35-44,Female,147492.0,86597.0,1370.0,7965.0,25.0,49005.0,607.0,100.0,67.0,97.0,970.0
